
RegionName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31
"Memphis, TN",184333.0,184167.0,186167.0,196167.0,203000.0,209333.0,212083.0,216417.0,219750.0,221000.0,220917.0,217583.0,210167.0,204250.0,206917.0,214333.0,226333.0,237000.0,244500.0,247500.0
"Oklahoma City, OK",186967.0,187000.0,188333.0,193333.0,195667.0,199333.0,202667.0,208667.0,209000.0,209667.0,209000.0,208333.0,206000.0,205000.0,208333.0,213333.0,216667.0,220000.0,223333.0,223333.0
"Louisville-Jefferson County, KY",189333.0,189800.0,189800.0,194967.0,198833.0,205500.0,213833.0,220000.0,220750.0,217417.0,216417.0,212333.0,210633.0,206633.0,209967.0,212750.0,220750.0,227417.0,234667.0,236667.0
"Hartford, CT",224407.0,221074.0,223333.0,228767.0,237100.0,241100.0,245667.0,252333.0,256500.0,257817.0,256150.0,256483.0,255167.0,251833.0,250000.0,253333.0,261667.0,272333.0,279833.0,286483.0
"Richmond, VA",262678.0,258372.0,256527.0,263518.0,272808.0,275475.0,279483.0,280590.0,284358.0,286000.0,287118.0,288683.0,283692.0,285313.0,285647.0,295347.0,298683.0,306433.0,310208.0,316875.0
"New Orleans, LA",219667.0,216300.0,213300.0,215300.0,219333.0,225000.0,227333.0,231000.0,229333.0,229333.0,230000.0,231667.0,230000.0,228000.0,229667.0,235830.0,240163.0,245163.0,247333.0,250000.0
"Buffalo, NY",161633.0,159967.0,158667.0,162667.0,171000.0,174000.0,178667.0,182355.0,189022.0,190355.0,188333.0,186667.0,183333.0,179083.0,176083.0,179167.0,189583.0,199417.0,209667.0,217167.0
"Raleigh, NC",300667.0,299333.0,301333.0,306167.0,308833.0,308917.0,308917.0,312917.0,315833.0,317000.0,315956.0,316290.0,315020.0,316398.0,322229.0,334828.0,346162.0,359997.0,368333.0,375000.0
"Birmingham, AL",205887.0,205870.0,212520.0,222396.0,227413.0,225763.0,225000.0,224967.0,228967.0,228967.0,230633.0,224967.0,222967.0,221967.0,226990.0,235657.0,245113.0,250089.0,251756.0,250000.0
"Salt Lake City, UT",342250.0,345250.0,350917.0,357083.0,358317.0,361900.0,367233.0,374583.0,379333.0,382500.0,384833.0,389833.0,391667.0,401667.0,412667.0,429906.0,443240.0,457240.0,469000.0,475667.0
"Rochester, NY",153367.0,150400.0,152083.0,156333.0,162333.0,164000.0,166667.0,171833.0,175167.0,175817.0,174160.0,173976.0,168993.0,164817.0,161667.0,168333.0,178317.0,189983.0,194967.0,198317.0
"Grand Rapids, MI",205667.0,209000.0,215817.0,222150.0,223817.0,224500.0,230333.0,233667.0,237000.0,235750.0,235417.0,232417.0,227650.0,228817.0,234817.0,248833.0,258667.0,266397.0,268364.0,269364.0
"Tucson, AZ",227376.0,232043.0,233276.0,237233.0,237233.0,238000.0,242333.0,247333.0,251667.0,255000.0,258333.0,259133.0,261725.0,265058.0,274158.0,279900.0,289400.0,297833.0,303783.0,307217.0
"Urban Honolulu, HI",579917.0,588183.0,601183.0,616183.0,619667.0,612000.0,607000.0,610333.0,616817.0,615817.0,612483.0,619000.0,630000.0,638833.0,622000.0,615333.0,621000.0,639500.0,655083.0,665583.0
"Tulsa, OK",176567.0,180983.0,182083.0,184083.0,186000.0,189167.0,194983.0,199317.0,204150.0,203833.0,202833.0,202167.0,199750.0,200583.0,201917.0,207833.0,212000.0,217333.0,220000.0,223333.0
"Fresno, CA",292583.0,293167.0,293500.0,296500.0,298167.0,305167.0,312083.0,315417.0,316000.0,317917.0,321250.0,323917.0,322250.0,327667.0,331417.0,338083.0,342667.0,348417.0,353750.0,357750.0
"Worcester, MA",280833.0,275000.0,275667.0,282333.0,297333.0,303333.0,313667.0,318667.0,325333.0,323333.0,323633.0,321967.0,323633.0,315000.0,316667.0,320000.0,338333.0,353333.0,361667.0,365000.0
"Stamford, CT",395000.0,389333.0,387500.0,389333.0,411333.0,442517.0,461517.0,486683.0,493000.0,499000.0,483167.0,481667.0,474167.0,480567.0,473900.0,485067.0,505333.0,540333.0,561667.0,556433.0
"Albuquerque, NM",218217.0,220383.0,223817.0,228000.0,228300.0,229633.0,235300.0,244133.0,247800.0,249600.0,248229.0,250551.0,249751.0,253989.0,257767.0,266089.0,271089.0,279989.0,285000.0,288333.0
"Albany, NY",199750.0,200383.0,198967.0,201467.0,208500.0,211167.0,212383.0,213050.0,220050.0,224500.0,223500.0,222167.0,218583.0,216233.0,215150.0,217233.0,223917.0,230717.0,239066.0,243920.0
"Omaha, NE",191667.0,193333.0,196667.0,205000.0,210000.0,219000.0,222833.0,226167.0,224167.0,222000.0,222000.0,221667.0,220150.0,221817.0,228817.0,238667.0,245333.0,250333.0,252333.0,252333.0
"New Haven, CT",219500.0,212833.0,211500.0,217000.0,230333.0,238333.0,248333.0,251667.0,258333.0,258000.0,261333.0,258667.0,254000.0,249000.0,250000.0,255500.0,268833.0,280500.0,290667.0,290667.0
"Bakersfield, CA",249167.0,249150.0,249983.0,255817.0,257500.0,261667.0,263333.0,267333.0,269000.0,272833.0,275833.0,277500.0,278667.0,275500.0,281500.0,283833.0,293333.0,295667.0,303333.0,306417.0
"Knoxville, TN",214883.0,212579.0,215745.0,221946.0,226250.0,227417.0,231667.0,235000.0,238300.0,238300.0,238300.0,237733.0,236733.0,235650.0,237917.0,242250.0,248333.0,255000.0,263333.0,271667.0
"Greenville, SC",206619.0,206350.0,211383.0,219917.0,226383.0,227383.0,228882.0,231332.0,232998.0,235833.0,235667.0,237667.0,235433.0,233767.0,233100.0,236894.0,244477.0,252144.0,257583.0,261333.0
"Ventura, CA",601500.0,602167.0,607000.0,608167.0,611167.0,621083.0,631417.0,648417.0,666833.0,676333.0,685667.0,679000.0,684667.0,681417.0,691417.0,710083.0,729583.0,754583.0,756333.0,765833.0
"Allentown, PA",195333.0,195000.0,199167.0,209167.0,215833.0,220000.0,223417.0,228083.0,229717.0,233800.0,235767.0,236633.0,232467.0,227500.0,226667.0,228333.0,235000.0,245000.0,257000.0,262000.0
"El Paso, TX",167717.0,166617.0,166633.0,166650.0,168000.0,170000.0,174983.0,179317.0,182892.0,183242.0,182208.0,180950.0,181433.0,183133.0,183483.0,185333.0,188667.0,192833.0,198167.0,201500.0
"Baton Rouge, LA",212053.0,210887.0,211013.0,215047.0,217197.0,217617.0,217950.0,221967.0,223667.0,226633.0,229267.0,228600.0,226337.0,223704.0,225704.0,229667.0,233000.0,236167.0,237833.0,241133.0
"Dayton, OH",138550.0,137117.0,141500.0,150833.0,156500.0,158983.0,162317.0,166650.0,166833.0,165167.0,160167.0,160000.0,159083.0,156826.0,154909.0,158159.0,166417.0,173333.0,177667.0,178333.0
"McAllen, TX",154498.0,156482.0,157648.0,160317.0,163000.0,165167.0,168667.0,170000.0,171833.0,169333.0,171583.0,174917.0,178917.0,178000.0,177167.0,180500.0,182483.0,186733.0,191567.0,192583.0
"Columbia, SC",183048.0,181888.0,181140.0,187139.0,191299.0,195966.0,199633.0,201650.0,202967.0,202865.0,203215.0,201898.0,201833.0,200833.0,204167.0,211470.0,218136.0,225205.0,223736.0,227069.0
"Greensboro, NC",161333.0,164000.0,169000.0,174333.0,175000.0,177333.0,182750.0,187750.0,188167.0,186083.0,185750.0,186667.0,185667.0,182036.0,183369.0,189369.0,186667.0,180667.0,169000.0,168333.0
"Akron, OH",150467.0,148300.0,150967.0,157000.0,161667.0,162333.0,165925.0,167758.0,171058.0,172300.0,172433.0,165383.0,156217.0,149583.0,150000.0,156667.0,163333.0,170667.0,175667.0,178667.0
"North Port-Sarasota-Bradenton, FL",287233.0,284397.0,280464.0,284064.0,287900.0,288833.0,293081.0,296748.0,299748.0,299667.0,303583.0,311250.0,314583.0,318332.0,326332.0,334665.0,343667.0,350000.0,361667.0,366663.0
"Little Rock, AR",168147.0,165287.0,169620.0,176307.0,180000.0,181000.0,181833.0,186000.0,187750.0,187750.0,187750.0,188333.0,186000.0,183375.0,183058.0,190392.0,197017.0,202333.0,204333.0,205333.0
"Stockton, CA",417833.0,425083.0,426750.0,433083.0,435333.0,443000.0,445417.0,447833.0,446833.0,448083.0,451250.0,452917.0,454583.0,457000.0,468167.0,482667.0,493667.0,504167.0,504667.0,506667.0
"Charleston, SC",283929.0,290262.0,291888.0,293717.0,292050.0,291783.0,297700.0,308533.0,318046.0,320546.0,320424.0,324291.0,323274.0,325753.0,331840.0,342013.0,353490.0,357657.0,357667.0,354033.0
"Syracuse, NY",147333.0,147333.0,144867.0,147450.0,150783.0,156083.0,158833.0,165167.0,168000.0,169667.0,166333.0,163333.0,160150.0,155150.0,153757.0,158607.0,164982.0,169708.0,173108.0,179145.0
"Colorado Springs, CO",330733.0,335233.0,342917.0,349027.0,352527.0,352527.0,360000.0,368333.0,375333.0,377000.0,379333.0,378333.0,377333.0,382667.0,392317.0,404983.0,416983.0,432333.0,444000.0,446333.0
"Winston-Salem, NC",176000.0,172833.0,171167.0,181000.0,185333.0,190333.0,195333.0,199500.0,202833.0,200833.0,201167.0,199500.0,195000.0,192833.0,192833.0,195667.0,190000.0,181667.0,172667.0,168333.0
"Wichita, KS",150883.0,148550.0,150633.0,162833.0,167833.0,171667.0,173542.0,176042.0,179208.0,176667.0,174583.0,175250.0,173750.0,174833.0,174133.0,177883.0,193550.0,204333.0,215583.0,214083.0
"Springfield, MA",223167.0,219167.0,218000.0,222167.0,231133.0,235633.0,239967.0,243333.0,248300.0,250300.0,248967.0,249000.0,247000.0,244667.0,244067.0,247400.0,256400.0,267000.0,275333.0,279667.0
"Fort Myers, FL",238220.0,239033.0,242367.0,244967.0,246000.0,241000.0,241000.0,244974.0,249974.0,252358.0,254550.0,257883.0,258500.0,251315.0,245315.0,245648.0,252333.0,260000.0,261152.0,264485.0
"Boise City, ID",312333.0,314300.0,321967.0,323633.0,326898.0,331562.0,339895.0,351663.0,361633.0,369933.0,375503.0,382701.0,391068.0,402165.0,418315.0,434978.0,451645.0,463330.0,472333.0,477333.0
"Toledo, OH",127333.0,126833.0,127733.0,133067.0,138067.0,139383.0,142217.0,138883.0,142317.0,140650.0,143317.0,144167.0,145500.0,141133.0,140717.0,141383.0,145417.0,147000.0,151667.0,157667.0
"Madison, WI",270000.0,269500.0,272167.0,282633.0,288382.0,297349.0,294716.0,296633.0,294833.0,295833.0,296833.0,297000.0,297000.0,292333.0,302333.0,312333.0,327000.0,332000.0,338667.0,341000.0
"Lakeland, FL",215997.0,214497.0,214432.0,214432.0,214098.0,214833.0,219000.0,222800.0,225467.0,226378.0,228412.0,231412.0,232333.0,233667.0,235667.0,239000.0,244333.0,250997.0,258313.0,264980.0
"Ogden, UT",293667.0,295333.0,296788.0,305788.0,314121.0,319133.0,326133.0,331800.0,340667.0,339667.0,341083.0,341417.0,343833.0,342500.0,349833.0,365750.0,388333.0,405667.0,415833.0,420497.0
"Daytona Beach, FL",227297.0,226633.0,227333.0,227333.0,228333.0,230167.0,236167.0,240783.0,243283.0,243950.0,246333.0,249000.0,251500.0,255100.0,259100.0,265930.0,269297.0,274297.0,279133.0,285800.0
"Des Moines, IA",216681.0,210327.0,209250.0,214250.0,222583.0,226667.0,228500.0,234167.0,234167.0,236333.0,234000.0,237917.0,238190.0,236405.0,234155.0,237882.0,243000.0,249667.0,252878.0,259045.0
"Provo, UT",332332.0,335000.0,336667.0,343333.0,341333.0,348000.0,350667.0,362667.0,366167.0,370167.0,373000.0,380065.0,386565.0,392065.0,399833.0,418333.0,435000.0,450208.0,456592.0,463258.0
"Durham, NC",297333.0,293833.0,300667.0,306000.0,308167.0,303333.0,301333.0,308667.0,308417.0,310142.0,307808.0,310730.0,308005.0,303505.0,311333.0,326667.0,347500.0,361152.0,373486.0,377474.0
"Fort Collins, CO",391500.0,394167.0,394216.0,395106.0,397439.0,400296.0,401141.0,409151.0,420412.0,429343.0,425500.0,415469.0,415036.0,421026.0,433057.0,435306.0,448134.0,454134.0,470985.0,476333.0

RegionName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,average2020
"New York, NY",421667.0,423333.0,424983.0,428317.0,431650.0,440000.0,444667.0,452833.0,456167.0,463167.0,468333.0,471667.0,471667.0,471667.0,475000.0,483333.0,495000.0,510000.0,522917.0,534583.0,
"Los Angeles-Long Beach-Anaheim, CA",656500.0,660417.0,667800.0,671467.0,669383.0,670333.0,685333.0,710000.0,728000.0,735667.0,735667.0,732667.0,728333.0,735000.0,750333.0,775333.0,799333.0,817333.0,825667.0,828333.0,
"Chicago, IL",231333.0,229667.0,235333.0,247167.0,254500.0,256167.0,257333.0,263333.0,266667.0,268333.0,265000.0,263333.0,257592.0,255925.0,259258.0,268333.0,281667.0,290000.0,293667.0,292000.0,
"Dallas-Fort Worth, TX",270500.0,271833.0,273333.0,279832.0,281832.0,285165.0,290000.0,296500.0,299500.0,299500.0,299667.0,300000.0,297998.0,301332.0,307998.0,320667.0,334000.0,345667.0,354568.0,356235.0,
"Philadelphia, PA",249000.0,248000.0,249167.0,259167.0,266167.0,271833.0,274167.0,279833.0,283007.0,282307.0,278974.0,278300.0,275000.0,271167.0,267833.0,272833.0,281200.0,293950.0,302283.0,309417.0,
"Houston, TX",244633.0,245310.0,244461.0,249641.0,249862.0,253862.0,258865.0,264333.0,264833.0,263650.0,264617.0,267708.0,266558.0,268907.0,274857.0,285190.0,294208.0,301667.0,306539.0,307539.0,
"Washington, DC",413633.0,412685.0,417535.0,431568.0,437516.0,438292.0,445958.0,452625.0,456667.0,451667.0,449967.0,447898.0,439564.0,431264.0,436667.0,456667.0,481667.0,495000.0,499667.0,493000.0,
"Miami-Fort Lauderdale, FL",300000.0,297000.0,299000.0,304833.0,310167.0,314833.0,319000.0,325000.0,328333.0,330000.0,330000.0,330000.0,331667.0,335000.0,340000.0,345000.0,351000.0,356750.0,361750.0,365000.0,
"Atlanta, GA",258333.0,260000.0,262167.0,270833.0,270833.0,271174.0,272507.0,279174.0,283167.0,284833.0,284833.0,285000.0,283333.0,284192.0,290858.0,302683.0,315825.0,325908.0,333068.0,333543.0,
"Boston, MA",462677.0,466343.0,473010.0,486333.0,495750.0,504083.0,509583.0,520833.0,525833.0,521667.0,514667.0,511333.0,511333.0,514083.0,521750.0,538417.0,559333.0,583333.0,595000.0,598333.0,
"San Francisco, CA",794871.0,781667.0,790000.0,818167.0,836500.0,848167.0,863333.0,885333.0,898667.0,900000.0,901333.0,891333.0,872333.0,870667.0,900667.0,972333.0,1031000.0,1061000.0,1058667.0,1033333.0,
"Detroit, MI",185833.0,182500.0,185667.0,194333.0,199333.0,203648.0,209982.0,217315.0,221333.0,218000.0,217167.0,213833.0,208833.0,202667.0,203667.0,211983.0,226617.0,234950.0,241600.0,241633.0,
"Riverside, CA",385833.0,388000.0,392000.0,393667.0,395667.0,398667.0,407000.0,414000.0,422000.0,427000.0,431833.0,435167.0,437750.0,442583.0,450917.0,462500.0,474167.0,484167.0,493667.0,498667.0,
"Phoenix, AZ",297163.0,298833.0,300833.0,302000.0,302000.0,303654.0,308987.0,317321.0,324000.0,330967.0,334300.0,335967.0,338333.0,345000.0,355000.0,365667.0,379000.0,390667.0,400408.0,406075.0,
"Seattle, WA",501192.0,508767.0,514233.0,526317.0,524667.0,529650.0,536650.0,551650.0,560000.0,563333.0,563333.0,556667.0,555000.0,558333.0,578333.0,603000.0,631333.0,648000.0,657983.0,658983.0,
"Minneapolis-St Paul, MN",277825.0,277159.0,282327.0,291835.0,297152.0,299317.0,302650.0,309000.0,311000.0,311333.0,309667.0,308667.0,305000.0,304967.0,311600.0,323267.0,333300.0,340241.0,344741.0,348075.0,
"San Diego, CA",598417.0,599417.0,605750.0,605000.0,601667.0,603333.0,616667.0,633333.0,651000.0,657667.0,662000.0,657667.0,656000.0,664000.0,684000.0,707750.0,726083.0,742750.0,750667.0,748333.0,
"St. Louis, MO",190268.0,185983.0,185000.0,189333.0,200000.0,206667.0,211667.0,216167.0,217167.0,215500.0,211000.0,209556.0,206889.0,203523.0,203217.0,206550.0,214917.0,223333.0,231000.0,231733.0,
"Tampa, FL",239000.0,238333.0,236833.0,241500.0,246000.0,250427.0,253427.0,258260.0,261733.0,263066.0,263733.0,264000.0,264997.0,267163.0,270497.0,277167.0,284315.0,294315.0,300855.0,306507.0,
"Baltimore, MD",298333.0,295000.0,295000.0,303333.0,308333.0,310074.0,310074.0,315074.0,320000.0,321633.0,321633.0,314967.0,310000.0,303333.0,303333.0,304000.0,314083.0,325083.0,335583.0,340500.0,
"Denver, CO",427098.0,429431.0,437731.0,443392.0,446726.0,445926.0,450833.0,455833.0,459667.0,463000.0,464667.0,464122.0,460788.0,464122.0,479000.0,500667.0,522333.0,538333.0,546467.0,548133.0,
"Pittsburgh, PA",170333.0,166667.0,166833.0,177167.0,185500.0,190333.0,193300.0,196633.0,199467.0,196500.0,192167.0,187667.0,182333.0,182333.0,187300.0,193967.0,203300.0,211333.0,219667.0,219667.0,
"Portland, OR",404763.0,403096.0,409546.0,413117.0,416450.0,418833.0,425500.0,434500.0,439000.0,443667.0,443487.0,443487.0,441876.0,448023.0,458389.0,471272.0,483638.0,494018.0,502577.0,508577.0,
"Charlotte, NC",267633.0,268607.0,270440.0,278273.0,279467.0,281797.0,284330.0,293497.0,295500.0,298167.0,297667.0,297000.0,293667.0,292236.0,297902.0,307447.0,320578.0,330578.0,337700.0,341080.0,
"Sacramento, CA",423167.0,425000.0,429250.0,435250.0,436917.0,440667.0,449667.0,460667.0,469333.0,474333.0,475833.0,475833.0,470833.0,473667.0,485333.0,502000.0,521667.0,536667.0,547333.0,550667.0,
"San Antonio, TX",229958.0,230667.0,230667.0,235333.0,239000.0,243333.0,248667.0,252332.0,254665.0,254967.0,255635.0,257169.0,256333.0,257467.0,257600.0,263630.0,270497.0,279130.0,286650.0,291650.0,
"Orlando, FL",275536.0,276128.0,272009.0,273009.0,275250.0,277807.0,279807.0,282307.0,282667.0,282000.0,283333.0,285667.0,287333.0,289000.0,293333.0,299468.0,304968.0,312634.0,321667.0,329500.0,
"Cincinnati, OH",186967.0,186750.0,189050.0,196383.0,198201.0,201301.0,204674.0,212523.0,212790.0,212750.0,211667.0,210833.0,205667.0,200667.0,201500.0,210167.0,218500.0,231583.0,238083.0,243792.0,
"Cleveland, OH",150000.0,150000.0,152667.0,157667.0,162667.0,166633.0,169800.0,173467.0,174833.0,174583.0,172250.0,171583.0,167000.0,165000.0,163333.0,167333.0,173333.0,181717.0,189467.0,195783.0,
"Kansas City, MO",221667.0,221667.0,226633.0,232925.0,240592.0,243958.0,250333.0,254983.0,258300.0,256800.0,254650.0,249667.0,247167.0,247000.0,251583.0,259083.0,269417.0,276500.0,282000.0,280000.0,
"Las Vegas, NV",306565.0,307648.0,308180.0,309408.0,310325.0,314484.0,319150.0,320817.0,319667.0,320000.0,321667.0,323333.0,324000.0,325667.0,330333.0,338000.0,347000.0,355667.0,365333.0,371333.0,
"Columbus, OH",209950.0,213217.0,219483.0,226617.0,231867.0,231850.0,234883.0,236650.0,236683.0,232119.0,230103.0,230103.0,229333.0,224794.0,227694.0,235861.0,252050.0,263817.0,267983.0,271667.0,
"Indianapolis, IN",193000.0,193000.0,197667.0,207667.0,215667.0,218333.0,221667.0,225167.0,227833.0,227833.0,226667.0,223833.0,220500.0,220500.0,221667.0,229167.0,239167.0,250334.0,256801.0,256701.0,
"San Jose, CA",990833.0,1003333.0,1045000.0,1106667.0,1123333.0,1126667.0,1125000.0,1133333.0,1135000.0,1151470.0,1144803.0,1144803.0,1131667.0,1139833.0,1181500.0,1238167.0,1286667.0,1316667.0,1315000.0,1316667.0,
"Austin, TX",315852.0,319852.0,323333.0,330000.0,332333.0,335667.0,344583.0,352250.0,357250.0,361667.0,365750.0,370750.0,370750.0,381333.0,402333.0,439000.0,462667.0,479986.0,484986.0,486986.0,
"Virginia Beach, VA",251267.0,250300.0,252300.0,256333.0,265633.0,268967.0,275800.0,275833.0,279167.0,276667.0,278333.0,276667.0,273800.0,269467.0,269467.0,275333.0,284000.0,292333.0,297667.0,298333.0,
